Date	Vehicle No	Trip No	Package No	Is Duplicate	Created At
25/12/2025	TN59AT0877	2	1215	No	2025-12-27T09:00:21.336Z
25/12/2025	TN59AT0877	2	1118	No	2025-12-27T09:00:22.078Z
25/12/2025	TN59AT0877	2	1120	No	2025-12-27T09:00:22.785Z
25/12/2025	TN59AT0877	2	545	No	2025-12-27T09:00:23.470Z
25/12/2025	TN59AT0877	2	486	No	2025-12-27T09:00:23.851Z
25/12/2025	TN59AT0877	2	1204	No	2025-12-27T09:00:24.350Z
25/12/2025	TN59AT0877	2	1117	No	2025-12-27T09:00:24.650Z
25/12/2025	TN59AT0877	2	1123	No	2025-12-27T09:00:25.236Z
25/12/2025	TN59AT0877	2	566	No	2025-12-27T09:00:25.542Z
25/12/2025	TN59AT0877	2	484	No	2025-12-27T09:00:26.161Z
25/12/2025	TN59AT0877	2	1209	No	2025-12-27T09:00:26.466Z
25/12/2025	TN59AT0877	2	1205	No	2025-12-27T09:00:26.770Z
25/12/2025	TN59AT0877	2	1212	No	2025-12-27T09:00:27.387Z
25/12/2025	TN59AT0877	2	717	No	2025-12-27T09:00:27.855Z
25/12/2025	TN59AT0877	2	480	No	2025-12-27T09:00:28.308Z
25/12/2025	TN59AT0877	2	809	No	2025-12-27T09:00:28.923Z
25/12/2025	TN59AT0877	2	786	No	2025-12-27T09:00:29.537Z
25/12/2025	TN59AT0877	2	1209	No	2025-12-27T09:00:30.151Z
25/12/2025	TN59AT0877	2	547	No	2025-12-27T09:00:31.391Z
25/12/2025	TN59AT0877	2	485	No	2025-12-27T09:00:33.175Z
25/12/2025	TN59AT0877	2	475	No	2025-12-27T09:00:35.190Z
25/12/2025	TN59AT0877	2	653	No	2025-12-27T09:00:35.718Z
25/12/2025	TN59AT0877	2	803	No	2025-12-27T09:00:36.597Z
25/12/2025	TN59AT0877	2	482	No	2025-12-27T09:00:36.989Z
25/12/2025	TN59AT0877	2	470	No	2025-12-27T09:00:37.307Z
25/12/2025	TN59AT0877	2	807	No	2025-12-27T09:00:37.621Z
25/12/2025	TN59AT0877	2	1214	No	2025-12-27T09:00:37.923Z
25/12/2025	TN59AT0877	2	798	No	2025-12-27T09:00:38.730Z
25/12/2025	TN59AT0877	2	552	No	2025-12-27T09:00:39.069Z
25/12/2025	TN59AT0877	2	476	No	2025-12-27T09:00:39.364Z
25/12/2025	TN59AT0877	2	574	No	2025-12-27T09:00:39.948Z
25/12/2025	TN59AT0877	2	488	No	2025-12-27T09:00:40.599Z
25/12/2025	TN59AT0877	2	481	No	2025-12-27T09:00:41.210Z
25/12/2025	TN59AT0877	2	550	No	2025-12-27T09:00:41.826Z
25/12/2025	TN59AT0877	2	572	No	2025-12-27T09:00:42.214Z
25/12/2025	TN59AT0877	2	787	No	2025-12-27T09:00:42.510Z
25/12/2025	TN59AT0877	2	560	No	2025-12-27T09:00:42.816Z
25/12/2025	TN59AT0877	2	559	No	2025-12-27T09:00:43.397Z
25/12/2025	TN59AT0877	2	799	No	2025-12-27T09:00:44.312Z
25/12/2025	TN59AT0877	2	788	No	2025-12-27T09:00:47.066Z
25/12/2025	TN59AT0877	2	489	No	2025-12-27T09:00:49.835Z
25/12/2025	TN59AT0877	2	558	No	2025-12-27T09:00:51.445Z
25/12/2025	TN59AT0877	2	587	No	2025-12-27T09:00:52.064Z
25/12/2025	TN59AT0877	2	794	No	2025-12-27T09:00:52.908Z
25/12/2025	TN59AT0877	2	483	No	2025-12-27T09:00:53.399Z
25/12/2025	TN59AT0877	2	549	No	2025-12-27T09:00:53.701Z
25/12/2025	TN59AT0877	2	554	No	2025-12-27T09:00:54.115Z
25/12/2025	TN59AT0877	2	593	No	2025-12-27T09:00:54.419Z
25/12/2025	TN59AT0877	2	562	No	2025-12-27T09:00:54.709Z
25/12/2025	TN59AT0877	2	553	No	2025-12-27T09:00:55.005Z
25/12/2025	TN59AT0877	2	594	No	2025-12-27T09:00:55.314Z
25/12/2025	TN59AT0877	2	1119	No	2025-12-27T09:00:55.621Z
25/12/2025	TN59AT0877	2	191	No	2025-12-27T09:00:55.926Z
25/12/2025	TN59AT0877	2	557	No	2025-12-27T09:00:56.225Z
25/12/2025	TN59AT0877	2	551	No	2025-12-27T09:00:56.527Z
25/12/2025	TN59AT0877	2	1122	No	2025-12-27T09:00:56.837Z
25/12/2025	TN59AT0877	2	555	No	2025-12-27T09:00:57.137Z
25/12/2025	TN59AT0877	2	473	No	2025-12-27T09:00:57.497Z
25/12/2025	TN59AT0877	2	564	No	2025-12-27T09:00:57.902Z
25/12/2025	TN59AT0877	2	595	No	2025-12-27T09:00:58.408Z
25/12/2025	TN59AT0877	2	474	No	2025-12-27T09:00:59.027Z
25/12/2025	TN59AT0877	2	556	No	2025-12-27T09:00:59.644Z
25/12/2025	TN59AT0877	2	789	No	2025-12-27T09:00:59.987Z
25/12/2025	TN59AT0877	2	1121	No	2025-12-27T09:01:00.297Z
25/12/2025	TN59AT0877	2	472	No	2025-12-27T09:01:00.634Z
25/12/2025	TN59AT0877	2	586	No	2025-12-27T09:01:00.980Z
25/12/2025	TN59AT0877	2	790	No	2025-12-27T09:01:01.291Z
25/12/2025	TN59AT0877	2	1124	No	2025-12-27T09:01:01.792Z
25/12/2025	TN59AT0877	2	477	No	2025-12-27T09:01:02.115Z
